,age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
0,39,6,13,4,0,1,4,1,2174,0,40,38,0
1,50,5,13,2,3,0,4,1,0,0,13,38,0
2,38,3,9,0,5,1,4,1,0,0,40,38,0
3,53,3,7,2,5,0,2,1,0,0,40,38,0
4,28,3,13,2,9,5,2,0,0,0,40,4,0
5,37,3,14,2,3,5,4,0,0,0,40,38,0
6,49,3,5,3,7,1,2,0,0,0,16,22,0
7,52,5,9,2,3,0,4,1,0,0,45,38,1
8,31,3,14,4,9,1,4,0,14084,0,50,38,1
9,42,3,13,2,3,0,4,1,5178,0,40,38,1
10,37,3,10,2,3,0,2,1,0,0,80,38,1
11,30,6,13,2,9,0,1,1,0,0,40,18,1
12,23,3,13,4,0,3,4,0,0,0,30,38,0
13,32,3,12,4,11,1,2,1,0,0,50,38,0
14,40,3,11,2,2,0,1,1,0,0,40,38,1
15,34,3,4,2,13,0,0,1,0,0,45,25,0
16,25,5,9,4,4,3,4,1,0,0,35,38,0
17,32,3,9,4,6,4,4,1,0,0,40,38,0
18,38,3,7,2,11,0,4,1,0,0,50,38,0
19,43,5,14,0,3,4,4,0,0,0,45,38,1
20,40,3,16,2,9,0,4,1,0,0,60,38,1
21,54,3,9,5,7,4,2,0,0,0,20,38,0
22,35,0,5,2,4,0,2,1,0,0,40,38,0
23,43,3,7,2,13,0,4,1,0,2042,40,38,0
24,59,3,9,0,12,4,4,0,0,0,40,38,0
25,56,1,13,2,12,0,4,1,0,0,40,38,1
26,19,3,9,4,2,3,4,1,0,0,40,38,0
27,54,3,10,2,9,0,1,1,0,0,60,34,1
28,39,3,9,0,3,1,4,1,0,0,80,38,0
29,49,3,9,2,2,0,4,1,0,0,40,38,0
30,23,1,12,4,10,1,4,1,0,0,52,38,0
31,20,3,10,4,11,3,2,1,0,0,44,38,0
32,45,3,13,0,3,3,4,1,0,1408,40,38,0
33,30,0,10,2,0,3,4,1,0,0,40,38,0
34,22,6,10,2,7,0,2,1,0,0,15,38,0
35,48,3,7,4,6,4,4,1,0,0,40,32,0
36,21,3,10,4,6,3,4,1,0,0,40,38,0
37,19,3,9,1,0,5,4,0,0,0,25,38,0
38,31,3,10,2,11,0,4,1,0,0,38,38,1
39,48,5,12,2,9,0,4,1,0,0,40,38,0
40,31,3,5,2,6,0,4,1,0,0,43,38,0
41,53,5,13,2,9,0,4,1,0,0,40,38,0
42,24,3,13,2,12,0,4,1,0,0,50,38,0
43,49,3,9,5,0,4,4,0,0,0,40,38,0
44,25,3,9,4,5,1,4,1,0,0,35,38,0
45,57,0,13,2,9,0,2,1,0,0,40,38,1
46,53,3,9,2,6,0,4,1,0,0,38,38,0
47,44,3,14,0,3,4,4,0,0,0,40,38,0
48,41,6,11,2,2,0,4,1,0,0,40,38,0
49,29,3,11,4,9,1,4,1,0,0,43,38,0
50,25,3,10,2,3,5,3,0,0,0,40,38,0
51,18,3,9,4,7,3,4,0,0,0,30,38,0
52,47,3,15,2,9,5,4,0,0,1902,60,15,1
53,50,0,13,0,3,1,4,1,0,0,55,38,1
54,47,4,9,0,3,1,4,1,0,0,60,38,0
55,43,3,10,2,12,0,4,1,0,0,40,38,1
56,46,3,3,2,6,0,4,1,0,0,40,25,0
57,35,3,11,2,7,0,4,1,0,0,40,32,0
58,41,3,9,2,0,0,4,1,0,0,48,38,0
59,30,3,9,2,6,0,4,1,5013,0,40,38,0
60,30,3,13,2,11,0,4,1,2407,0,40,38,0
61,32,3,4,3,9,1,4,1,0,0,40,38,0
62,48,3,9,2,13,0,4,1,0,0,40,38,0
63,42,3,16,2,9,0,4,1,0,0,45,38,1
64,29,3,10,0,12,1,4,1,0,0,58,38,0
65,36,3,9,2,2,0,4,1,0,0,40,38,0
66,28,3,10,0,0,1,4,0,0,0,40,38,0
67,53,3,9,2,0,5,4,0,0,0,40,38,1
68,49,4,10,2,3,0,4,1,0,0,50,38,1
69,25,3,10,4,9,3,4,1,0,0,40,38,0
70,19,3,10,4,9,3,4,1,0,0,32,38,0
71,31,3,13,5,11,3,2,0,0,0,40,38,0
72,29,5,13,2,11,0,4,1,0,0,70,38,1
73,23,3,10,4,6,1,4,1,0,0,40,38,0
74,79,3,10,2,9,2,4,1,0,0,20,38,0
75,27,3,9,4,7,3,4,1,0,0,40,25,0
76,40,3,12,2,0,0,4,1,0,0,40,38,0
77,67,3,6,2,9,0,4,1,0,0,2,38,0
78,18,3,7,4,7,3,4,0,0,0,22,38,0
79,31,1,4,2,4,0,4,1,0,0,40,38,0
80,18,3,9,4,11,1,4,1,0,0,30,38,0
81,52,3,13,2,7,0,4,1,0,0,40,4,0
82,46,3,9,2,7,5,4,0,0,0,40,38,0
83,59,3,9,2,11,0,4,1,0,0,48,38,0
84,44,3,9,0,2,1,4,0,14344,0,40,38,1
85,53,3,9,0,11,3,4,0,0,0,35,38,0
86,49,1,9,2,10,0,4,1,0,0,40,38,1
87,33,3,14,2,9,0,4,1,0,0,50,38,0
88,30,3,5,4,11,1,4,1,0,0,40,38,0
89,43,0,16,4,9,1,4,0,0,0,50,38,1
90,57,3,11,2,9,0,4,1,0,0,40,38,0
91,37,3,10,0,2,4,4,0,0,0,40,38,0
92,28,3,10,0,6,4,2,0,0,0,25,38,0
93,30,3,9,2,11,5,1,0,0,1573,35,38,0
94,34,1,13,2,10,0,4,1,0,0,40,38,1
95,29,1,10,4,5,1,4,1,0,0,50,38,0
96,48,5,16,2,9,0,4,1,0,1902,60,38,1
97,37,3,10,2,11,0,4,1,0,0,48,38,1
98,48,3,12,0,3,4,4,0,0,0,40,8,0
99,32,0,9,4,7,3,2,1,0,0,40,38,0
100,76,3,14,2,3,0,4,1,0,0,40,38,1
101,44,3,13,2,3,0,4,1,15024,0,60,38,1
102,47,5,14,4,9,1,4,0,0,0,50,38,0
103,20,3,10,4,12,3,4,0,0,0,40,38,0
104,29,3,9,4,2,1,4,1,0,0,40,38,0
105,32,4,9,2,2,0,4,1,7688,0,40,38,1
106,17,3,6,4,9,3,4,0,34095,0,32,38,0
107,30,3,7,4,5,3,4,1,0,0,40,38,0
108,31,1,9,4,0,1,4,0,0,0,40,38,0
109,42,3,9,2,5,0,4,1,0,0,40,38,0
110,24,3,13,4,11,2,4,1,0,0,40,38,0
111,38,3,15,2,9,0,4,1,0,0,40,38,1
112,56,5,9,2,7,0,4,1,0,1887,50,1,1
113,28,3,10,2,11,5,4,0,4064,0,25,38,0
114,36,3,9,4,6,3,4,0,0,0,40,38,0
115,53,3,5,2,5,0,4,1,0,0,50,38,0
116,56,4,10,2,11,0,4,1,0,0,50,38,0
117,49,1,11,2,2,0,2,1,0,0,40,38,1
118,55,3,10,2,11,0,4,1,0,0,56,38,0
119,22,3,9,4,2,1,4,1,0,0,41,38,0
120,21,3,10,4,7,3,4,0,0,0,40,38,0
121,40,3,13,2,3,0,4,1,0,0,60,38,0
122,30,3,13,4,3,3,2,1,0,0,40,10,0
123,29,6,13,2,9,0,4,1,0,0,50,38,1
124,19,3,10,4,7,3,2,1,0,0,35,38,0
125,47,3,13,2,3,5,4,0,0,0,40,38,1
126,20,3,10,4,0,3,4,0,0,1719,28,38,0
127,31,3,12,2,0,0,4,1,0,0,40,38,1
128,35,3,9,2,9,0,4,1,0,0,40,38,0
129,39,3,10,0,2,1,4,1,0,0,40,38,0
130,28,3,12,4,11,1,4,0,0,0,60,38,0
131,24,3,9,4,7,1,4,0,0,1762,40,38,0
132,38,5,9,2,2,0,4,1,4386,0,35,38,0
133,37,3,13,2,11,0,4,1,0,0,50,38,0
134,46,3,12,0,12,1,2,0,0,0,36,38,0
135,38,0,14,2,9,0,4,1,0,0,40,19,1
136,43,5,9,2,2,0,4,1,0,0,60,38,0
137,27,3,11,2,0,5,4,0,0,0,35,38,0
138,20,3,10,4,11,3,4,1,0,0,20,38,0
139,49,3,10,2,2,0,1,1,0,0,40,38,1
140,61,4,9,2,2,0,4,1,0,0,40,38,0
141,27,3,10,4,11,3,4,0,0,0,40,38,0
142,19,3,10,4,7,3,4,1,0,0,30,25,0
143,45,3,11,4,9,1,4,0,0,1564,40,38,1
144,70,3,10,4,12,2,4,1,0,0,40,38,0
145,31,3,9,4,13,4,2,0,0,0,30,38,0
146,22,3,10,2,7,0,4,1,0,0,24,38,0
147,36,3,9,6,7,4,4,0,0,0,24,38,0
148,64,3,7,2,2,0,4,1,0,2179,40,38,0
149,43,3,10,0,9,1,4,0,0,0,40,38,0
150,47,1,10,0,0,4,4,0,0,0,38,25,0
151,34,3,9,4,0,1,4,0,0,0,40,38,0
152,33,3,13,4,3,2,1,0,0,0,40,29,0
153,21,3,9,4,2,3,4,1,0,0,35,38,0
154,52,3,9,0,9,1,4,1,0,0,45,38,1
155,48,3,9,2,2,0,4,1,0,0,46,38,0
156,23,3,13,4,5,1,4,1,0,0,40,38,0
157,71,5,10,5,11,4,2,1,0,1816,2,38,0
158,29,3,9,0,2,1,4,1,0,0,60,38,0
159,42,3,13,5,7,2,2,1,0,0,50,38,0
160,68,3,2,0,9,1,4,0,0,0,20,38,0
161,25,3,9,4,7,4,4,0,0,0,40,38,0
162,44,4,14,0,3,4,1,0,0,0,40,38,0
163,28,3,9,4,3,1,1,0,0,0,40,8,0
164,45,5,14,2,11,0,4,1,0,0,40,38,1
165,36,3,10,0,7,4,4,0,0,0,40,25,0
166,39,0,12,4,3,1,4,1,0,0,42,38,0
167,46,6,14,6,10,4,4,1,0,0,40,38,0
168,18,3,7,4,5,3,4,1,0,0,16,38,0
169,66,1,11,6,9,1,4,0,0,0,20,38,0
170,27,3,9,4,7,1,4,1,0,1980,40,38,0
171,28,6,9,2,10,0,4,1,0,0,40,38,0
172,51,3,10,2,11,0,4,1,0,1977,40,38,1
173,27,3,13,4,2,1,4,1,0,0,50,38,0
174,28,6,13,2,9,0,4,1,0,0,40,38,1
175,27,3,9,3,11,4,4,0,0,0,25,38,0
176,21,3,9,4,2,3,2,1,0,0,40,38,0
177,34,3,9,4,5,1,2,1,0,0,40,38,0
178,18,3,9,4,7,3,4,1,0,0,12,38,0
179,33,3,13,2,9,0,4,1,0,0,65,38,0
180,44,1,10,2,3,0,2,1,0,0,38,38,1
181,43,3,10,0,0,1,4,0,0,0,40,38,0
182,30,3,10,4,2,1,2,1,0,0,45,38,0
183,40,3,4,2,6,0,4,1,0,0,40,25,1
184,37,0,10,2,0,0,4,1,0,0,42,38,1
185,34,3,9,2,0,0,2,1,0,0,40,38,0
186,41,5,13,0,3,1,4,0,0,0,40,38,0
187,53,3,13,0,9,1,4,0,0,0,50,38,0
188,31,3,14,2,9,5,4,0,0,0,50,38,0
189,58,6,16,2,9,0,4,1,0,0,1,38,1
190,38,3,10,0,6,1,2,0,0,0,28,38,0
191,24,3,10,2,6,0,4,1,0,0,40,38,0
192,41,1,13,2,2,0,2,1,0,0,40,38,0
193,47,3,10,2,12,0,4,1,0,0,45,38,0
194,41,0,13,2,12,0,4,1,0,0,24,38,0
195,23,3,3,2,13,2,4,1,0,0,40,25,0
196,36,3,10,0,2,1,4,1,0,0,40,38,0
197,40,0,14,4,3,1,4,0,14084,0,55,38,1
198,35,3,14,2,9,2,4,1,7298,0,40,38,1
199,24,5,9,4,11,1,4,1,0,0,40,38,0
200,26,3,14,4,9,1,4,0,0,1876,40,38,0
201,19,3,9,4,9,3,4,1,0,0,40,21,0
202,51,3,13,2,3,0,4,1,0,0,50,38,1
203,42,1,10,4,9,1,4,0,0,1340,40,38,0
204,37,6,9,0,0,4,4,0,0,0,35,38,0
205,18,3,7,4,11,3,4,0,0,0,40,38,0
206,36,3,13,2,7,0,2,1,7298,0,36,38,1
207,35,3,9,0,2,1,4,1,0,0,60,38,0
208,58,4,9,2,11,5,4,0,15024,0,35,38,1
209,17,3,7,4,11,3,4,0,0,0,12,38,0
210,44,1,9,2,13,0,2,1,0,0,40,38,0
211,37,3,9,2,2,0,4,1,0,0,40,38,1
212,35,3,10,4,11,1,0,0,0,0,40,38,0
213,60,3,9,2,2,0,1,1,0,0,40,38,0
214,54,4,4,2,6,0,4,1,0,0,40,38,1
215,37,3,13,4,3,1,2,1,0,0,60,38,1
216,50,3,12,0,11,1,4,0,0,0,40,38,0
217,38,3,13,2,11,0,4,1,0,0,50,30,0
218,45,3,13,2,9,0,4,1,0,0,55,38,0
219,25,3,6,4,2,1,4,1,0,0,40,38,0
220,31,3,10,2,5,0,4,1,0,0,40,38,0
221,64,3,2,0,9,1,4,1,0,0,40,38,0
222,90,3,9,4,7,1,2,1,0,2206,40,38,0
223,54,3,9,2,0,0,2,1,0,0,20,38,0
224,53,1,1,4,6,1,4,0,0,0,35,38,0
225,18,3,9,4,11,3,4,0,0,0,40,38,0
226,60,3,6,0,9,1,0,0,0,0,10,38,0
227,66,5,9,2,4,0,4,1,1409,0,50,38,0
228,75,3,11,6,0,1,4,0,0,0,20,3,0
229,65,3,9,0,0,1,4,0,0,0,40,38,0
230,35,3,7,5,13,1,2,1,3674,0,40,38,0
231,41,3,9,0,11,4,2,0,0,0,38,38,0
232,25,3,10,4,0,1,4,1,0,0,42,38,0
233,33,3,10,0,2,2,3,0,0,0,40,38,0
234,28,3,15,4,9,1,4,1,0,0,55,38,1
235,59,6,9,2,7,0,4,1,0,0,40,38,0
236,40,6,10,4,0,1,4,0,0,0,38,38,0
237,41,3,13,2,3,0,4,1,0,0,50,19,1
238,38,1,14,2,3,0,4,1,0,0,70,38,1
239,23,3,9,4,13,3,4,1,0,0,40,38,0
240,40,3,13,2,9,0,4,1,0,0,40,38,1
241,41,5,9,2,7,5,4,0,0,0,20,38,0
242,24,6,12,2,10,0,4,1,0,0,50,38,0
243,20,3,10,4,9,3,4,1,0,0,20,38,0
244,38,3,10,0,2,1,4,1,0,1741,40,38,0
245,56,3,9,2,0,0,4,1,0,0,35,38,0
246,58,3,9,2,0,0,4,1,0,0,45,38,1
247,32,3,9,4,7,1,4,0,0,0,34,38,0
248,40,3,12,2,12,0,4,1,0,1977,60,38,1
249,45,3,9,2,0,0,4,1,0,0,40,38,0
250,41,3,15,2,9,5,4,0,0,0,40,38,1
251,42,3,13,2,0,5,2,0,0,0,40,38,0
252,59,1,6,6,7,4,2,0,0,0,30,38,0
253,19,1,10,4,0,3,4,1,0,0,40,38,0
254,58,3,10,4,13,1,4,1,0,0,20,38,0
255,42,5,9,2,4,0,1,1,0,0,40,0,1
256,20,3,9,4,7,3,4,0,0,0,40,38,0
257,32,3,9,5,7,1,4,0,0,0,30,38,0
258,45,3,11,6,3,1,4,0,0,0,45,38,0
259,50,3,4,0,2,1,4,1,0,0,40,38,0
260,36,3,13,0,9,3,4,0,0,0,40,38,0
261,45,3,9,2,11,0,4,1,0,0,60,38,0
262,17,3,7,4,7,3,4,1,0,0,12,38,0
263,59,3,10,2,11,0,4,1,4064,0,40,38,0
264,26,3,7,2,2,0,4,1,0,0,40,38,0
265,37,4,10,2,3,0,1,1,0,0,75,36,1
266,19,3,10,4,9,3,4,1,0,0,24,1,0
267,64,3,9,2,3,0,4,1,0,0,40,38,1
268,33,3,13,4,9,1,4,0,0,0,45,38,0
269,33,3,9,2,2,5,4,0,0,0,40,38,1
270,61,3,9,2,3,0,4,1,0,0,40,38,1
271,17,3,5,4,7,3,4,1,1055,0,24,38,0
272,50,5,14,2,4,0,4,1,2407,0,98,38,0
273,27,1,14,4,9,3,4,1,0,0,35,38,0
274,30,3,9,0,9,3,4,0,0,0,40,38,0
275,43,3,9,2,5,0,2,1,0,0,40,38,0
276,44,3,10,2,2,0,4,1,7298,0,40,38,1
