,age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
1216,48,5,10,2,2,0,0,1,7688,0,40,38,1
27941,31,3,13,4,11,1,4,1,0,0,40,38,0
23063,50,3,16,2,9,0,4,1,15024,0,50,38,1
19670,22,3,9,2,11,0,4,1,0,0,45,38,0
19172,28,3,9,4,3,1,4,0,0,0,45,38,0
31728,44,3,13,2,2,0,4,1,0,0,50,38,1
20320,43,1,13,2,9,0,4,1,0,0,40,38,0
31010,22,3,10,4,9,3,4,1,0,0,40,38,0
9144,37,3,14,2,3,0,4,1,0,0,55,7,1
16612,23,6,10,4,9,3,4,0,0,0,6,38,0
4907,44,1,11,2,2,0,4,1,0,0,40,38,1
26545,50,6,9,2,9,0,4,1,0,0,52,38,0
17970,47,3,9,4,0,2,4,0,0,0,40,38,0
13847,40,3,12,4,7,2,4,1,0,0,25,38,0
5116,32,3,13,2,11,0,3,1,0,0,40,32,0
12675,48,3,13,4,7,1,4,1,0,0,50,25,1
22033,24,3,9,4,11,1,4,0,0,0,48,38,0
8648,36,1,11,4,9,1,4,0,0,0,40,38,0
10747,64,3,9,2,7,0,4,1,0,0,40,38,0
30823,36,3,9,0,7,3,4,0,0,0,30,38,0
30048,38,1,14,0,9,1,2,1,0,0,40,22,0
21599,48,3,9,2,13,0,4,1,0,0,50,38,1
22772,55,0,10,2,0,0,4,1,0,0,40,38,0
15104,29,3,11,2,0,0,4,1,0,0,40,38,0
31277,42,3,9,0,5,1,4,0,0,0,40,38,0
2215,33,3,10,2,11,0,4,1,0,0,48,38,1
19061,51,3,3,2,2,2,4,0,0,0,40,38,0
19395,50,3,9,2,6,0,4,1,0,0,58,38,0
23552,48,4,13,2,3,0,4,1,0,0,60,38,1
8019,48,6,10,2,2,0,4,1,0,0,40,38,1
25637,42,3,1,4,5,1,4,1,0,0,25,38,0
26993,42,4,13,2,11,0,4,1,0,0,60,38,1
